Packet #,Jitter(ms),,,,,
955,3.11276756,320.3567264,856.992,,OK,
957,2.971616879,321.2110831,867.84,,OK,
959,2.860423609,322.4036077,835.296,,OK,
961,2.710115217,321.9481183,802.752,,OK,
963,2.754829224,318.522579,802.752,,OK,
965,3.612417043,302.0463447,791.904,,OK,
967,4.621336957,321.8014803,802.752,,OK,
969,4.340947231,321.666379,813.6,,OK,
971,4.165993737,320.1246877,791.904,,OK,
973,3.917188045,320.3097903,770.208,,OK,
975,3.698129376,320.7220397,770.208,,OK,
977,3.490269845,321.0944166,770.208,,OK,
979,3.313540605,320.4318146,770.208,,OK,
981,3.142605185,321.0103884,770.208,,OK,
983,3.181973681,317.2378873,781.056,,OK,
985,3.014732888,317.7440083,791.904,,OK,
987,2.987074451,320.3162062,770.208,,OK,
989,3.032030304,316.6098381,759.36,,OK,
991,3.186018966,322.105687,759.36,,OK,
993,3.048783593,321.115434,759.36,,OK,
995,2.949863188,319.6493769,770.208,,OK,
997,3.212393808,312.4990238,759.36,,OK,
999,3.428321133,319.1662548,770.208,,OK,
1001,3.374356367,321.7311397,781.056,,OK,
1003,3.188949726,321.3232896,791.904,,OK,
1007,3.104697556,319.4823746,781.056,,OK,
1009,3.069936139,322.0308894,770.208,,OK,
1011,3.182982512,317.1522113,748.512,,OK,
1013,3.287744543,322.0113863,759.36,,OK,
1015,3.095451391,321.8003322,759.36,,OK,
1017,2.931274248,321.3317151,770.208,,OK,
1019,2.749195539,321.34973,781.056,,OK,
1021,2.64051388,320.339441,791.904,,OK,
1023,2.482079603,320.4450064,791.904,,OK,
1025,2.437719419,318.6726898,791.904,,OK,
1027,2.349795733,319.7036302,791.904,,OK,
1029,2.216845715,319.9262257,791.904,,OK,
1031,2.196661948,321.8201311,791.904,,OK,
1033,2.082527722,322.1906454,791.904,,OK,
1035,1.964015649,322.0043109,791.904,,OK,
1037,2.672261456,308.7083623,781.056,,OK,
1039,2.677729428,311.4681113,791.904,,OK,
1041,2.843815949,316.8032251,802.752,,OK,
1043,2.783234841,314.9287069,813.6,,OK,
1045,2.929672157,320.0549388,824.448,,OK,
1047,4.852070474,286.3668936,802.752,,OK,
1049,4.86035318,291.3514873,802.752,,OK,
1051,4.962446655,297.8453361,813.6,,OK,
1053,7.584522996,250.929668,791.904,,OK,
1055,7.351062232,254.7788188,802.752,,OK,
1057,7.253225579,260.5644946,813.6,,OK,
1059,7.193037529,266.8547113,824.448,,OK,
1061,7.186801051,273.9479652,824.448,,OK,
1063,7.203223847,281.397531,835.296,,OK,
1065,7.155220467,287.8327008,846.144,,OK,
